번호,시퀀스,모델명,지역,가격,시세안심지수,번호판,연식,주행거리,연료,변속기,색상,사진
229,26665484,BMW M시리즈 X6 M G06 Competition (2020~),경기,"11,100만원",적정,311저1156,21년06월(21년형),"53,757km",가솔린,오토,초록색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2666/26665484_28037827153395900.jpeg?width=320
230,26665345,포르쉐 911(992) Carrera S,부산,"13,350만원",적정,246수3111,21년01월(21년형),"60,618km",가솔린,수동,노랑색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2666/26665345_27965136933885010.jpeg?width=320
231,26660265,포드 올뉴머스탱 쿠페 프리미엄,경기,"1,399만원",낮음,51무0350,16년09월(17년형),"132,052km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2666/26660265_27715778119826373.jpeg?width=320
232,26658921,BMW 8시리즈 (G15) 840i xDrive Gran Coupe M Sport Package,경기,"7,290만원",낮음,327다8952,21년07월(21년형),"41,470km",가솔린,오토,주황색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26658921_27700138936439341.jpeg?width=320
233,26657068,포르쉐 911(992) Carrera 4 GTS,경기,"19,100만원",적정,108로5979,22년11월(23년형),"11,113km",가솔린,오토,진주색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26657068_28133554381315700.jpg?width=320
234,26656319,BMW 올 뉴 Z4 sDrive 20i Sport,경기,"3,599만원",적정,181고8998,19년05월(19년형),"108,550km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26656319_27629304141746892.jpeg?width=320
235,26471532,포드 머스탱 쿠페,경기,"1,770만원",적정,11어0146,16년12월(17년형),"121,570km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2647/26471532_22894055625768039.jpeg?width=320
236,26654516,벤츠 SL클래스(R232) AMG SL63 4MATIC+ Performance,경기,"16,990만원",적정,236마7511,23년05월(23년형),"10,905km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26654516_27609993639966466.jpeg?width=320
237,26305863,람보르기니 우라칸 EVO 5.2 LP640-2 Tecnica,경기,"32,800만원",낮음,338누3333,23년10월(23년형),"3,936km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2630/26305863_18711536832548886.jpeg?width=320
238,26384673,벤츠 SLC클래스 (R172) SLC 43 AMG,경기,"3,450만원",적정,138러4602,16년12월(17년형),"80,346km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2638/26384673_20891924028736805.jpeg?width=320
239,26170396,포르쉐 911(992) Carrera 4S Cabriolet,경기,"18,500만원",적정,264저6819,22년03월(22년형),"22,436km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2617/26170396_15514788400616211.jpeg?width=320
240,26293024,포르쉐 카이맨 (718) 2.0,경기,"4,520만원",낮음,152머7469,18년04월(18년형),"115,530km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2629/26293024_18462274769169265.jpeg?width=320
241,26302121,BMW 올 뉴 Z4 M40i,경기,"5,830만원",적정,363노9998,21년10월(22년형),"53,065km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2630/26302121_18632898677206102.jpeg?width=320
242,26353517,포드 올뉴머스탱 쿠페 프리미엄,인천,"2,900만원",적정,175무3787,20년08월(20년형),"78,965km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2635/26353517_20183942470858211.jpeg?width=320
243,26495669,애스턴마틴 DB11 4.0 V8 쿠페,경기,"18,000만원",낮음,229구2332,23년09월(23년형),84km,가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2649/26495669_23405389587863753.jpeg?width=320
244,26319462,포르쉐 Taycan 4S,부산,"17,800만원",적정,03저4084,23년12월(24년형),"6,400km",전기,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2631/26319462_19239306309534586.jpeg?width=320
245,26409338,BMW M시리즈 M2 쿠페 G87(23~),부산,"7,990만원",적정,320너6823,24년05월(24년형),"4,978km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2640/26409338_21481937083735211.jpeg?width=320
246,26511747,렉서스 RC F 5.0,경기,"6,300만원",낮음,39구3700,19년06월(20년형),"31,822km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2651/26511747_23832331600910227.jpeg?width=320
247,26559635,BMW 올 뉴 Z4 sDrive 20i M 스포츠 라인,경기,"4,639만원",적정,114어3197,20년08월(20년형),"25,071km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2655/26559635_25109189132236820.jpeg?width=320
248,26573477,포드 올뉴머스탱 GT 컨버터블 프리미엄,경기,"5,450만원",적정,131부8487,22년12월(22년형),"12,411km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2657/26573477_25627177480129525.jpg?width=320
249,26579081,맥라렌 720S 4.0 쿠페 기본형,경기,"21,900만원",적정,267나1234,20년12월(19년형),"4,421km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2657/26579081_25626478881374654.jpeg?width=320
250,26604300,BMW 올 뉴 Z4 sDrive 20i Sport,경기,"4,350만원",적정,136두7176,21년04월(21년형),"32,149km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2660/26604300_26244556951524472.jpeg?width=320
251,26619179,포드 올뉴머스탱 GT 쿠페 프리미엄,서울,"6,399만원",적정,185우7960,24년07월(24년형),"6,088km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2661/26619179_26752720325866064.jpg?width=320
252,26621648,포드 올뉴머스탱 쿠페 프리미엄,경기,"2,770만원",적정,288저2714,19년09월(19년형),"54,795km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2662/26621648_26776057750603719.jpeg?width=320
253,26282187,포르쉐 718 박스터 4.0 GTS,경기,"10,200만원",낮음,117라9512,22년05월(22년형),"7,468km",가솔린,오토,노랑색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2628/26282187_18291328443577473.jpg?width=320
254,26337293,포드 올뉴머스탱 쿠페 프리미엄,서울,"2,850만원",적정,308머3147,19년10월(19년형),"31,075km",가솔린,오토,검정,https://img.kbchachacha.com/IMG/carimg/l/img03/img2633/26337293_20182287103494763.jpg?width=320
255,26410886,포르쉐 카이맨 (718) 4.0 GTS,경기,"9,000만원",낮음,264저6815,22년03월(22년형),"24,494km",가솔린,오토,노랑색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2641/26410886_21501208513414607.jpg?width=320
256,26436339,포르쉐 718 박스터 4.0 GTS,경기,"11,100만원",낮음,189우7912,23년08월(23년형),"1,315km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2643/26436339_22106501717862844.jpg?width=320
257,26640659,BMW 8시리즈 (G15) M850i xDrive Gran Coupe 기본형,서울,"8,799만원",적정,371거2368,22년11월(23년형),"26,261km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2664/26640659_27355323910767708.jpg?width=320
258,26652131,BMW 올 뉴 Z4 M40i,대구,"6,499만원",적정,241부9147,23년04월(23년형),"10,219km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26652131_28837204830669094.jpg?width=320
259,26537679,포드 올뉴머스탱 컨버터블 프리미엄,경기,"2,670만원",낮음,55구3427,17년10월(17년형),"39,867km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2653/26537679_24515562449840540.jpeg?width=320
260,26570529,페라리 488 스파이더 4.0 V8,경기,"22,299만원",낮음,58더0222,16년10월(17년형),"24,335km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2657/26570529_25300853609303902.jpeg?width=320
261,26617066,맥라렌 570S 3.8 쿠페 기본형,대구,"10,900만원",적정,22보8888,16년10월(16년형),"65,444km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2661/26617066_26597817792792006.jpg?width=320
262,26652736,아우디 R8 5.2 V10 스파이더 (13년~),인천,"6,750만원",적정,68수9228,11년03월(11년형),"65,060km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26652736_27547680327979682.jpeg?width=320
263,26652092,포드 머스탱 쿠페,경기,"1,400만원",적정,13두3148,16년04월(16년형),"103,013km",가솔린,오토,쥐색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26652092_27542687368108793.jpeg?width=320
264,26500432,포드 머스탱 GT 컨버터블,경기,"3,920만원",적정,328너6021,20년06월(20년형),"64,796km",가솔린,오토,인기색상,https://img.kbchachacha.com/IMG/carimg/l/img10/img2650/26500432_23493596298424481.jpeg?width=320
265,26649430,포르쉐 911(992) Carrera 4,경기,"18,300만원",낮음,348마1630,24년08월(24년형),"3,348km",가솔린,오토,진주색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2664/26649430_27489303109396720.jpeg?width=320
266,26648626,BMW 8시리즈 (G15) M850i xDrive Gran Coupe 기본형,경기,"9,390만원",적정,182머5766,23년03월(23년형),"24,480km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2664/26648626_27470121006399567.jpeg?width=320
267,26648616,페라리 488 스파이더 4.0 V8,울산,"26,900만원",적정,238가3303,16년07월(17년형),"32,972km",가솔린,오토,청색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2664/26648616_27460911119372875.jpeg?width=320
268,26327064,포르쉐 718 박스터 2.0,경기,"5,650만원",적정,05어1880,17년08월(17년형),"46,804km",가솔린,오토,인기색상,https://img.kbchachacha.com/IMG/carimg/l/img02/img2632/26327064_19498566387120670.jpeg?width=320
269,26328839,BMW M시리즈 M5 세단 Competition Edition,경기,"10,050만원",적정,293조7545,21년06월(21년형),"43,000km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2632/26328839_19520589981244228.jpeg?width=320
270,26644233,벤츠 AMG GT GT,경기,"6,599만원",적정,21두7677,17년04월(17년형),"82,709km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2664/26644233_27812793287577380.jpg?width=320
271,26640522,BMW M시리즈 X6 M G06 Competition (2020~),경남,"19,500만원",낮음,214다9028,24년08월(24년형),"6,500km",하이브리드(가솔린),오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2664/26640522_27349701089283411.jpeg?width=320
272,26635026,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,경기,"6,690만원",적정,106오1441,20년05월(20년형),"71,160km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2663/26635026_27106033505354553.jpeg?width=320
273,26588142,포르쉐 718 박스터 2.5 GTS,경기,"7,900만원",적정,235부3447,18년08월(18년형),"48,458km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2658/26588142_25803583981352543.jpeg?width=320
274,26631735,BMW 올 뉴 Z4 sDrive 20i M 스포츠 라인,경기,"5,000만원",적정,380노6764,22년10월(22년형),"32,000km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2663/26631735_27034624830743021.jpeg?width=320
275,26389324,BMW M시리즈 M8 그란 쿠페 Competition,울산,"9,500만원",적정,355거8888,20년04월(20년형),"74,000km",가솔린,오토,하늘색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2638/26389324_20977746980097345.jpeg?width=320
276,26537356,포르쉐 Taycan Base,광주,"10,300만원",낮음,61보2497,23년08월(23년형),"28,900km",전기,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2653/26537356_24517524930723238.jpg?width=320
277,26624221,벤츠 AMG GT GT 4door 63 S 4MATIC+ 기본형,경기,"11,600만원",적정,387루6680,21년09월(21년형),"50,755km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2662/26624221_26840806144861226.jpeg?width=320
278,26621338,애스턴마틴 DB11 4.0 V8 쿠페,부산,"14,500만원",낮음,22수7711,18년06월(18년형),"10,226km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2662/26621338_26775136223420520.jpeg?width=320
279,26619743,캐딜락 CTS-V V8 6.2L 기본형,경기,"4,200만원",낮음,01로0500,16년09월(16년형),"98,903km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2661/26619743_26756301965829622.jpeg?width=320
280,26619291,페라리 포르토피노 3.9 V8,경기,"17,490만원",낮음,67모1999,18년11월(19년형),"62,340km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2661/26619291_26751410074909372.jpeg?width=320
281,26522272,포르쉐 박스터 S 3.4 987(05년~08년),경기,"3,900만원",적정,12더2721,13년08월(14년형),"138,415km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2652/26522272_24079131555492398.jpeg?width=320
282,26617746,벤츠 SL클래스(R232) AMG SL63 4MATIC+ 기본형,경기,"16,800만원",적정,116러1263,23년05월(23년형),"10,114km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2661/26617746_26680700369460645.jpeg?width=320
283,26617692,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,경기,"7,250만원",적정,255고3830,19년11월(19년형),"35,816km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2661/26617692_26675189179157397.jpeg?width=320
284,26617030,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,경기,"7,590만원",적정,166두4861,21년07월(21년형),"40,298km",하이브리드(가솔린),오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2661/26617030_26595046635313219.jpeg?width=320
285,26399024,BMW 8시리즈 (G15) 840i xDrive Gran Coupe M Sport Package,경기,"7,000만원",적정,393너6088,19년12월(20년형),"55,376km",가솔린,오토,인기색상,https://img.kbchachacha.com/IMG/carimg/l/img09/img2639/26399024_21306724385188632.jpeg?width=320
286,26612618,포드 올뉴머스탱 쿠페 프리미엄,경남,"2,550만원",적정,315거9681,19년09월(19년형),"51,562km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2661/26612618_26489191351900609.jpeg?width=320
287,26609799,BMW M시리즈 M4 쿠페 Competition (F82),경기,"4,290만원",적정,03우3434,18년03월(18년형),"91,509km",가솔린,오토,노랑색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2660/26609799_26419162605308305.jpeg?width=320
288,26608985,포르쉐 718 박스터 2.0,인천,"7,880만원",적정,320무2156,20년11월(21년형),"9,450km",가솔린,오토,빨강,https://img.kbchachacha.com/IMG/carimg/l/img10/img2660/26608985_26412710228984023.jpeg?width=320
289,26608582,BMW 올 뉴 Z4 sDrive 20i M 스포츠 패키지,경기,"4,320만원",보통,234더3167,19년04월(19년형),"68,022km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2660/26608582_26408214535915010.jpeg?width=320
290,26343478,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,경기,"6,390만원",적정,244거8877,20년03월(20년형),"112,816km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2634/26343478_19855550201547606.jpeg?width=320
291,26605748,벤츠 AMG GT GT 4door 63 S 4MATIC+ 기본형,경기,"9,799만원",낮음,309고1414,20년03월(20년형),"60,700km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2660/26605748_26268518813854657.jpeg?width=320
292,26605585,포드 올뉴머스탱 쿠페 프리미엄,경기,"1,750만원",적정,128구7994,16년10월(17년형),"114,770km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2660/26605585_26257637440040785.jpeg?width=320
293,26605470,BMW 올 뉴 Z4 M40i,부산,"5,150만원",적정,108고2946,19년09월(19년형),"52,593km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2660/26605470_26255651262624313.jpeg?width=320
294,26600262,포드 올뉴머스탱 쿠페 프리미엄,경기,"1,650만원",적정,21모3897,15년04월(15년형),"106,310km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2660/26600262_26162207433189781.jpeg?width=320
295,26598663,포르쉐 911(992) Carrera 4S Cabriolet,부산,"17,800만원",적정,152러2933,21년01월(21년형),"31,963km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2659/26598663_26145447616386406.jpeg?width=320
296,26477046,렉서스 RC F 5.0,경기,"4,810만원",적정,46가8512,17년03월(17년형),"65,433km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2647/26477046_23121459882065520.jpeg?width=320
297,26593964,포르쉐 카이맨 (718) 2.0,부산,"5,500만원",보통,27구1887,18년08월(18년형),"84,613km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2659/26593964_25908409198451176.jpeg?width=320
298,26592556,벤츠 CLE클래스 (C236) CLE 450 4MATIC 쿠페 기본형,경기,"7,880만원",적정,120노9373,24년03월(24년형),"24,600km",하이브리드(가솔린),오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2659/26592556_25900464087318957.jpeg?width=320
299,26592465,BMW i8 1.5 쿠페 하이브리드,경기,"5,780만원",낮음,147두3055,16년02월(15년형),"98,229km",하이브리드(가솔린),오토,노랑색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2659/26592465_25891129886388010.jpeg?width=320
300,26542081,포드 올뉴머스탱 GT 쿠페 프리미엄,경기,"4,100만원",적정,126수1641,19년03월(19년형),"66,596km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2654/26542081_24604985260296462.jpeg?width=320
301,26584371,BMW M시리즈 M3 세단 F80 (14~21),경기,"3,450만원",적정,09두0830,14년07월(15년형),"110,750km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2658/26584371_25724697785760287.jpeg?width=320
302,26583866,포드 올뉴머스탱 컨버터블 프리미엄,경기,"3,899만원",적정,107소7272,22년09월(22년형),"34,743km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2658/26583866_25719582497194685.jpeg?width=320
303,26582498,벤츠 뉴 SLK클래스 SLK200 블루이피션시,경기,"1,850만원",적정,05더2437,13년04월(12년형),"50,270km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2658/26582498_25705653270822271.jpeg?width=320
304,26321703,포르쉐 Taycan 4S,경기,"12,200만원",낮음,09어8880,22년12월(22년형),"8,258km",전기,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2632/26321703_19277118235424875.jpeg?width=320
305,26375368,벤츠 AMG GT GT 4door 63 S 4MATIC+ 기본형,경기,"10,699만원",적정,386러6000,21년01월(20년형),"53,314km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2637/26375368_20718658859487512.jpeg?width=320
306,26568058,포드 올뉴머스탱 쿠페 프리미엄,인천,"2,900만원",적정,03모4929,18년10월(19년형),"23,643km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2656/26568058_25274319969102975.jpeg?width=320
307,26568054,벤츠 뉴 SLK클래스 SLK200 블루이피션시,인천,"2,120만원",적정,63어0943,16년01월(16년형),"93,767km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2656/26568054_25274275067421012.jpeg?width=320
308,26568053,포드 올뉴머스탱 쿠페 프리미엄,인천,"3,050만원",적정,349무5423,21년01월(20년형),"44,487km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2656/26568053_25274256792366483.jpeg?width=320
309,26560960,맥라렌 570S 3.8 스파이더 기본형,경기,"16,700만원",보통,183서9991,18년07월(18년형),"44,753km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2656/26560960_25119405290050792.jpeg?width=320
310,26560539,포르쉐 911(992) Carrera 4 Cabriolet,경기,"16,790만원",적정,226너7687,20년05월(20년형),"10,349km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2656/26560539_25115346869272918.jpeg?width=320
311,26558315,포르쉐 718 박스터 2.5 GTS,부산,"8,550만원",적정,231우7758,19년12월(20년형),"37,523km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2655/26558315_25047087734427110.jpeg?width=320
312,26553390,BMW M시리즈 X6 M G06 Competition (2020~),경기,"11,150만원",적정,153라7800,21년06월(21년형),"37,936km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2655/26553390_24954904510919358.jpeg?width=320
313,26263150,BMW M시리즈 M4 쿠페 Competition (F82),경기,"9,880만원",적정,204구7122,23년07월(23년형),"13,950km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2626/26263150_17929164638313855.jpeg?width=320
314,26545874,포드 올뉴머스탱 쿠페 프리미엄,경기,"3,250만원",적정,122우5313,22년02월(21년형),"40,393km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2654/26545874_24681965737055975.jpeg?width=320
315,26539989,포르쉐 718 박스터 2.5 GTS,경기,"8,850만원",적정,362도1478,19년06월(19년형),"25,781km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2653/26539989_24581882701658519.jpeg?width=320
316,25977710,포르쉐 718 박스터 2.5 S,경기,"5,100만원",낮음,371마1694,16년09월(17년형),"76,000km",가솔린,오토,노랑색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2597/25977710_14685424108806106.jpg?width=320
317,26533640,재규어 F-TYPE 2.0 P300 쿠페,경기,"5,999만원",적정,395어2271,21년09월(21년형),"33,002km",가솔린,오토,은색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2653/26533640_24432795385385649.jpeg?width=320
318,26533273,벤츠 뉴 SLK클래스 SLK200 블루이피션시,인천,"2,230만원",적정,41모9842,15년05월(15년형),"67,156km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2653/26533273_24429996279165171.jpeg?width=320
319,26533055,포드 올뉴머스탱 컨버터블 프리미엄,인천,"2,590만원",적정,273소8111,17년05월(17년형),"59,885km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2653/26533055_24428229215624721.jpeg?width=320
320,26527952,벤츠 뉴 SLK클래스 SLK200 블루이피션시,경기,"2,320만원",적정,43로2073,14년11월(15년형),"44,605km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2652/26527952_24333843162224583.jpeg?width=320
321,26397519,BMW M시리즈 M5 세단 Competition Edition,서울,"10,999만원",적정,178다3309,20년11월(21년형),"22,636km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2639/26397519_21659953497477927.jpg?width=320
322,26409028,포드 올뉴머스탱 GT 컨버터블 프리미엄,경기,"4,980만원",적정,371버4508,21년03월(21년형),"38,317km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2640/26409028_21480430720656534.jpeg?width=320
323,26523667,BMW M시리즈 X6 M G06 Competition (2020~),인천,"13,800만원",적정,122어4719,23년10월(23년형),"35,535km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2652/26523667_24093389250172563.jpeg?width=320
324,26403281,포르쉐 718 박스터 4.0 GTS,대구,"10,700만원",적정,127두7186,22년04월(22년형),"10,750km",가솔린,오토,카민레드,https://img.kbchachacha.com/IMG/carimg/l/img10/img2640/26403281_21396552915199206.jpg?width=320
325,26517851,BMW M시리즈 M3 세단 Competition G80,경기,"10,750만원",낮음,271수6474,22년04월(22년형),"27,661km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2651/26517851_23990465607545670.jpeg?width=320
326,26389491,BMW 올 뉴 Z4 sDrive 20i Sport,경기,"3,950만원",낮음,344로8361,20년12월(21년형),"62,309km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2638/26389491_20979568860302086.jpeg?width=320
327,26516126,BMW M시리즈 M8 그란 쿠페 Competition,경기,"11,999만원",낮음,134서7500,20년05월(20년형),"48,924km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2651/26516126_23928453875495992.jpeg?width=320
328,26515210,BMW 8시리즈 (G15) 840d xDrive Gran Coupe M Sport Package,경기,"7,499만원",적정,308도2222,20년11월(21년형),"50,345km",디젤,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2651/26515210_23910552604767427.jpeg?width=320
329,26378784,포르쉐 718 박스터 2.0,경남,"6,450만원",낮음,142저4645,17년08월(17년형),"42,000km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img07/img2637/26378784_20791010198836815.jpeg?width=320
330,26508568,BMW M시리즈 M2 쿠페 Competition(F87),경기,"5,690만원",적정,108다6635,21년02월(21년형),"40,531km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2650/26508568_23800347225311929.jpeg?width=320
331,26507500,벤츠 AMG GT GT 4door 63 S 4MATIC+ 기본형,경기,"8,390만원",낮음,352서1741,20년02월(20년형),"121,507km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2650/26507500_23748716820419387.jpeg?width=320
332,26504094,BMW M시리즈 M2 쿠페 G87(23~),경기,"7,000만원",적정,204구7115,23년07월(23년형),"18,808km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2650/26504094_23717072209091801.jpeg?width=320
333,26306460,BMW M시리즈 M5 세단 Competition Edition,경기,"9,880만원",적정,157거9000,21년03월(21년형),"53,629km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2630/26306460_18733481889390914.jpg?width=320
334,26500687,BMW 올 뉴 Z4 sDrive 20i Sport,경기,"3,700만원",적정,256수7262,21년06월(21년형),"97,981km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2650/26500687_27458000512969028.jpg?width=320
335,26383716,포드 올뉴머스탱 GT 컨버터블 프리미엄,대구,"3,390만원",낮음,237라1245,17년02월(17년형),"128,168km",가솔린,오토,노랑색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2638/26383716_20885396155987743.jpg?width=320
336,26499116,벤츠 AMG GT GT S 에디션1,부산,"10,300만원",낮음,334보9993,16년01월(16년형),"49,904km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2649/26499116_23481505337814564.jpeg?width=320
337,26497203,벤츠 SL클래스(R232) AMG SL63 4MATIC+ 기본형,경기,"18,220만원",적정,173라6363,24년02월(23년형),"3,910km",가솔린,오토,노랑색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2649/26497203_23461093418448995.jpeg?width=320
338,26494760,BMW M시리즈 XM 기본형,부산,"17,900만원",적정,246어4970,23년06월(23년형),"16,841km",하이브리드(가솔린),오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2649/26494760_23398694131683486.jpeg?width=320
339,26493644,포르쉐 718 박스터 2.5 S,경기,"5,299만원",적정,128도4047,16년10월(17년형),"55,423km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2649/26493644_25467855897708179.jpg?width=320
